="{Table 5.1: Coefficients SMEs}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall"
="main",="",="",="",="",="",="",="",="",=""
="Sales growth",="-0.034",="0.012",="0.026",="0.011",="0.011",="0.011",="-0.049",="-0.094**",="-0.084*"
="",="(0.062)",="(0.069)",="(0.059)",="(0.044)",="(0.044)",="(0.044)",="(0.046)",="(0.047)",="(0.044)"
="Public Support (t-1)",="-0.183***",="-0.252***",="-0.186***",="-0.144***",="-0.144***",="-0.144***",="-0.141**",="-0.251***",="-0.158**"
="",="(0.056)",="(0.061)",="(0.054)",="(0.052)",="(0.052)",="(0.052)",="(0.067)",="(0.075)",="(0.065)"
="Size (log) (t-1)",="0.099**",="0.083**",="0.107***",="0.045",="0.045",="0.045",="0.085**",="0.050",="0.044"
="",="(0.039)",="(0.041)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.042)",="(0.043)",="(0.038)"
="Age",="0.032",="-0.002",="0.021",="0.029",="0.029",="0.029",="0.081",="0.124*",="0.081"
="",="(0.045)",="(0.047)",="(0.043)",="(0.053)",="(0.053)",="(0.053)",="(0.070)",="(0.071)",="(0.064)"
="R&D intensity (log) (t-1)",="0.037***",="0.032***",="0.032***",="0.050***",="0.050***",="0.050***",="0.049***",="0.061***",="0.060***"
="",="(0.008)",="(0.009)",="(0.008)",="(0.007)",="(0.007)",="(0.007)",="(0.009)",="(0.009)",="(0.008)"
="depth 0-10",="-0.019",="-0.014",="-0.025",="0.012",="0.012",="0.012",="-0.002",="-0.011",="-0.009"
="",="(0.016)",="(0.017)",="(0.016)",="(0.015)",="(0.015)",="(0.015)",="(0.016)",="(0.017)",="(0.016)"
="breadth 0-10",="0.038***",="0.025***",="0.032***",="0.034***",="0.034***",="0.034***",="0.075***",="0.057***",="0.063***"
="",="(0.008)",="(0.008)",="(0.008)",="(0.007)",="(0.007)",="(0.007)",="(0.009)",="(0.009)",="(0.008)"
="Financial Constraints (t-1)",="0.055",="0.021",="0.057",="0.011",="0.011",="0.011",="0.052",="0.015",="0.061"
="",="(0.044)",="(0.046)",="(0.042)",="(0.037)",="(0.037)",="(0.037)",="(0.048)",="(0.052)",="(0.045)"
="Knowledge Barriers (t-1)",="0.047",="-0.063",="0.026",="-0.016",="-0.016",="-0.016",="0.142**",="0.115*",="0.093"
="",="(0.055)",="(0.058)",="(0.052)",="(0.053)",="(0.053)",="(0.053)",="(0.065)",="(0.067)",="(0.061)"
="Market Barriers: Dominated (t-1)",="0.064",="0.042",="0.032",="0.159***",="0.159***",="0.159***",="0.041",="0.106",="0.093"
="",="(0.062)",="(0.065)",="(0.059)",="(0.058)",="(0.058)",="(0.058)",="(0.071)",="(0.074)",="(0.066)"
="Market Barriers: Uncertainty (t-1)",="0.157***",="0.198***",="0.163***",="0.175***",="0.175***",="0.175***",="0.146**",="0.026",="0.057"
="",="(0.059)",="(0.060)",="(0.056)",="(0.051)",="(0.051)",="(0.051)",="(0.064)",="(0.068)",="(0.060)"
="Higher education (t-1)",="0.286**",="0.290**",="0.361***",="0.033",="0.033",="0.033",="-0.049",="-0.121",="-0.086"
="",="(0.133)",="(0.138)",="(0.126)",="(0.110)",="(0.110)",="(0.110)",="(0.133)",="(0.133)",="(0.121)"
="Intellectual protection (t-1)",="0.169***",="0.138***",="0.155***",="0.245***",="0.245***",="0.245***",="0.145**",="0.223***",="0.169***"
="",="(0.050)",="(0.053)",="(0.048)",="(0.047)",="(0.047)",="(0.047)",="(0.059)",="(0.060)",="(0.055)"
="Group membership (t-1)",="0.077",="0.189***",="0.105*",="0.049",="0.049",="0.049",="-0.031",="0.073",="0.019"
="",="(0.067)",="(0.068)",="(0.064)",="(0.062)",="(0.062)",="(0.062)",="(0.070)",="(0.071)",="(0.065)"
="Foreign (t-1)",="0.024",="0.013",="-0.040",="-0.057",="-0.057",="-0.057",="0.113",="-0.062",="-0.011"
="",="(0.109)",="(0.110)",="(0.105)",="(0.103)",="(0.103)",="(0.103)",="(0.117)",="(0.122)",="(0.111)"
="Exporter (t-1)",="0.132*",="0.094",="0.145**",="-0.035",="-0.035",="-0.035",="-0.049",="0.084",="0.042"
="",="(0.069)",="(0.071)",="(0.065)",="(0.064)",="(0.064)",="(0.064)",="(0.081)",="(0.088)",="(0.076)"
="High tech. Manufacturing.",="0.164",="0.070",="0.162",="0.137",="0.137",="0.137",="0.240*",="0.232*",="0.176"
="",="(0.124)",="(0.130)",="(0.119)",="(0.115)",="(0.115)",="(0.115)",="(0.127)",="(0.129)",="(0.121)"
="Medium tech Manufacturing",="0.047",="0.009",="0.049",="0.112",="0.112",="0.112",="0.137*",="0.050",="0.075"
="",="(0.074)",="(0.077)",="(0.070)",="(0.069)",="(0.069)",="(0.069)",="(0.081)",="(0.082)",="(0.075)"
="High. tech. Services",="0.015",="-0.086",="0.020",="-0.073",="-0.073",="-0.073",="0.034",="0.063",="0.076"
="",="(0.113)",="(0.117)",="(0.106)",="(0.102)",="(0.102)",="(0.102)",="(0.121)",="(0.123)",="(0.110)"
="Rest of services",="-0.054",="-0.104",="-0.074",="-0.046",="-0.046",="-0.046",="-0.074",="0.008",="-0.056"
="",="(0.097)",="(0.101)",="(0.091)",="(0.088)",="(0.088)",="(0.088)",="(0.108)",="(0.107)",="(0.097)"
="year==  2007.0000",="0.002",="0.004",="0.002",="",="",="",="",="",=""
="",="(0.006)",="(0.006)",="(0.006)",="",="",="",="",="",=""
="year==  2008.0000",="-0.009",="-0.001",="-0.004",="",="",="",="",="",=""
="",="(0.010)",="(0.011)",="(0.010)",="",="",="",="",="",=""
="year==  2010.0000",="",="",="",="0.003",="0.003",="0.003",="",="",=""
="",="",="",="",="(0.010)",="(0.010)",="(0.010)",="",="",=""
="year==  2011.0000",="",="",="",="0.008",="0.008",="0.008",="",="",=""
="",="",="",="",="(0.012)",="(0.012)",="(0.012)",="",="",=""
="year==  2012.0000",="",="",="",="0.012",="0.012",="0.012",="",="",=""
="",="",="",="",="(0.013)",="(0.013)",="(0.013)",="",="",=""
="year==  2014.0000",="",="",="",="",="",="",="0.019**",="0.016**",="0.020***"
="",="",="",="",="",="",="",="(0.008)",="(0.008)",="(0.008)"
="year==  2015.0000",="",="",="",="",="",="",="0.045***",="0.031***",="0.045***"
="",="",="",="",="",="",="",="(0.012)",="(0.012)",="(0.011)"
="Constant",="-2.063***",="-1.832***",="-1.794***",="-1.594***",="-1.594***",="-1.594***",="-2.492***",="-2.581***",="-2.137***"
="",="(0.190)",="(0.193)",="(0.177)",="(0.201)",="(0.201)",="(0.201)",="(0.271)",="(0.265)",="(0.242)"
="Financial constraints",="",="",="",="",="",="",="",="",=""
="Averaged Cost Barriers",="1.556***",="1.552***",="1.552***",="1.694***",="1.694***",="1.694***",="1.714***",="1.730***",="1.718***"
="",="(0.353)",="(0.353)",="(0.353)",="(0.285)",="(0.285)",="(0.285)",="(0.269)",="(0.269)",="(0.269)"
="Sales growth",="-0.083",="-0.083",="-0.083",="-0.012",="-0.012",="-0.012",="-0.044",="-0.044",="-0.044"
="",="(0.058)",="(0.058)",="(0.058)",="(0.045)",="(0.045)",="(0.045)",="(0.055)",="(0.055)",="(0.055)"
="Public Support (t-1)",="0.058",="0.058",="0.058",="0.040",="0.040",="0.040",="0.043",="0.042",="0.042"
="",="(0.047)",="(0.047)",="(0.047)",="(0.045)",="(0.045)",="(0.045)",="(0.055)",="(0.055)",="(0.055)"
="Size (log) (t-1)",="-0.135***",="-0.135***",="-0.135***",="-0.117***",="-0.117***",="-0.117***",="-0.130***",="-0.130***",="-0.130***"
="",="(0.030)",="(0.030)",="(0.030)",="(0.027)",="(0.027)",="(0.027)",="(0.028)",="(0.028)",="(0.028)"
="Age",="-0.071*",="-0.071*",="-0.071*",="-0.035",="-0.035",="-0.035",="-0.019",="-0.019",="-0.019"
="",="(0.036)",="(0.036)",="(0.036)",="(0.041)",="(0.041)",="(0.041)",="(0.051)",="(0.051)",="(0.051)"
="R&D intensity (log) (t-1)",="-0.003",="-0.003",="-0.003",="0.003",="0.003",="0.003",="-0.003",="-0.003",="-0.003"
="",="(0.007)",="(0.007)",="(0.007)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"
="depth 0-10",="0.024*",="0.024*",="0.024*",="0.047***",="0.047***",="0.047***",="0.060***",="0.060***",="0.060***"
="",="(0.014)",="(0.014)",="(0.014)",="(0.013)",="(0.013)",="(0.013)",="(0.014)",="(0.014)",="(0.014)"
="breadth 0-10",="0.017**",="0.017**",="0.017**",="0.005",="0.005",="0.005",="0.002",="0.002",="0.002"
="",="(0.007)",="(0.007)",="(0.007)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"
="Knowledge Barriers (t-1)",="0.246***",="0.247***",="0.246***",="0.231***",="0.231***",="0.231***",="0.153***",="0.152***",="0.153***"
="",="(0.045)",="(0.045)",="(0.045)",="(0.045)",="(0.045)",="(0.045)",="(0.051)",="(0.051)",="(0.051)"
="Market Barriers: Dominated (t-1)",="0.283***",="0.283***",="0.283***",="0.177***",="0.177***",="0.177***",="0.265***",="0.265***",="0.265***"
="",="(0.051)",="(0.051)",="(0.051)",="(0.049)",="(0.049)",="(0.049)",="(0.055)",="(0.055)",="(0.055)"
="Market Barriers: Uncertainty (t-1)",="0.149***",="0.149***",="0.149***",="0.260***",="0.260***",="0.260***",="0.245***",="0.244***",="0.245***"
="",="(0.051)",="(0.051)",="(0.051)",="(0.044)",="(0.044)",="(0.044)",="(0.050)",="(0.050)",="(0.050)"
="Higher education (t-1)",="0.018",="0.018",="0.018",="-0.077",="-0.077",="-0.077",="0.005",="0.003",="0.004"
="",="(0.106)",="(0.106)",="(0.106)",="(0.089)",="(0.089)",="(0.089)",="(0.095)",="(0.095)",="(0.095)"
="Intellectual protection (t-1)",="-0.027",="-0.027",="-0.027",="-0.017",="-0.017",="-0.017",="-0.111**",="-0.111**",="-0.111**"
="",="(0.042)",="(0.042)",="(0.042)",="(0.041)",="(0.041)",="(0.041)",="(0.046)",="(0.046)",="(0.046)"
="Group membership (t-1)",="-0.039",="-0.039",="-0.039",="-0.094*",="-0.094*",="-0.094*",="-0.146***",="-0.145***",="-0.146***"
="",="(0.054)",="(0.054)",="(0.054)",="(0.049)",="(0.049)",="(0.049)",="(0.051)",="(0.051)",="(0.051)"
="Foreign (t-1)",="-0.222**",="-0.222**",="-0.222**",="-0.167**",="-0.167**",="-0.167**",="-0.137",="-0.137",="-0.137"
="",="(0.095)",="(0.095)",="(0.095)",="(0.084)",="(0.084)",="(0.084)",="(0.090)",="(0.090)",="(0.090)"
="Exporter (t-1)",="-0.094*",="-0.094*",="-0.093*",="-0.031",="-0.031",="-0.031",="-0.100*",="-0.100*",="-0.100*"
="",="(0.051)",="(0.051)",="(0.051)",="(0.051)",="(0.051)",="(0.051)",="(0.057)",="(0.057)",="(0.057)"
="High tech. Manufacturing.",="0.019",="0.019",="0.019",="0.019",="0.019",="0.019",="-0.084",="-0.084",="-0.084"
="",="(0.101)",="(0.101)",="(0.101)",="(0.095)",="(0.095)",="(0.095)",="(0.099)",="(0.099)",="(0.098)"
="Medium tech Manufacturing",="0.024",="0.024",="0.024",="-0.024",="-0.024",="-0.024",="-0.039",="-0.039",="-0.039"
="",="(0.059)",="(0.059)",="(0.059)",="(0.054)",="(0.054)",="(0.054)",="(0.058)",="(0.058)",="(0.058)"
="High. tech. Services",="-0.025",="-0.025",="-0.025",="0.045",="0.045",="0.045",="0.018",="0.017",="0.018"
="",="(0.090)",="(0.090)",="(0.090)",="(0.082)",="(0.082)",="(0.082)",="(0.087)",="(0.087)",="(0.087)"
="Rest of services",="0.103",="0.103",="0.103",="0.154**",="0.154**",="0.154**",="0.058",="0.058",="0.058"
="",="(0.077)",="(0.077)",="(0.077)",="(0.070)",="(0.070)",="(0.070)",="(0.072)",="(0.072)",="(0.072)"
="year==  2007.0000",="-0.002",="-0.002",="-0.002",="",="",="",="",="",=""
="",="(0.022)",="(0.022)",="(0.022)",="",="",="",="",="",=""
="year==  2008.0000",="0.069**",="0.070**",="0.070**",="",="",="",="",="",=""
="",="(0.030)",="(0.030)",="(0.030)",="",="",="",="",="",=""
="year==  2010.0000",="",="",="",="-0.074***",="-0.074***",="-0.074***",="",="",=""
="",="",="",="",="(0.020)",="(0.020)",="(0.020)",="",="",=""
="year==  2011.0000",="",="",="",="0.028",="0.028",="0.028",="",="",=""
="",="",="",="",="(0.020)",="(0.020)",="(0.020)",="",="",=""
="year==  2013.0000",="",="",="",="",="",="",="0.058**",="0.057**",="0.058**"
="",="",="",="",="",="",="",="(0.029)",="(0.029)",="(0.029)"
="year==  2014.0000",="",="",="",="",="",="",="0.044**",="0.044**",="0.045**"
="",="",="",="",="",="",="",="(0.022)",="(0.022)",="(0.022)"
="Constant",="-0.434**",="-0.432**",="-0.432**",="-0.537***",="-0.537***",="-0.537***",="-0.444**",="-0.450**",="-0.445**"
="",="(0.189)",="(0.189)",="(0.189)",="(0.195)",="(0.195)",="(0.195)",="(0.217)",="(0.217)",="(0.217)"
="atanhrho_12",="",="",="",="",="",="",="",="",=""
="Constant",="0.028",="-0.009",="0.013",="0.048**",="0.048**",="0.048**",="0.024",="0.074**",="0.054**"
="",="(0.027)",="(0.028)",="(0.025)",="(0.023)",="(0.023)",="(0.023)",="(0.030)",="(0.031)",="(0.027)"
="N",="7843",="7843",="7843",="10475",="10475",="10475",="7857",="7857",="7857"
="N_clust",="2618",="2618",="2618",="2619",="2619",="2619",="2619",="2619",="2619"
