="{Table A4: Marginal effects -Large Firms: Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall"
="2007 evolcifra",="-0.026",="-0.012",="-0.036",="",="",="",="",="",=""
="",="(0.055)",="(0.054)",="(0.059)",="",="",="",="",="",=""
="2007 bsupport",="-0.009",="-0.065**",="-0.039",="",="",="",="",="",=""
="",="(0.031)",="(0.030)",="(0.034)",="",="",="",="",="",=""
="2007 ln_size",="0.020",="0.006",="0.022",="",="",="",="",="",=""
="",="(0.014)",="(0.013)",="(0.015)",="",="",="",="",="",=""
="2007 ln_age",="-0.014",="-0.007",="-0.020",="",="",="",="",="",=""
="",="(0.016)",="(0.016)",="(0.017)",="",="",="",="",="",=""
="2007 ln_gintidpt",="0.025***",="0.026***",="0.035***",="",="",="",="",="",=""
="",="(0.005)",="(0.005)",="(0.005)",="",="",="",="",="",=""
="2007 depth",="0.016**",="0.019***",="0.023***",="",="",="",="",="",=""
="",="(0.008)",="(0.007)",="(0.009)",="",="",="",="",="",=""
="2007 breadth",="0.015***",="0.012***",="0.013***",="",="",="",="",="",=""
="",="(0.004)",="(0.004)",="(0.005)",="",="",="",="",="",=""
="2007 financial_constraints",="-0.077**",="-0.066*",="-0.108***",="",="",="",="",="",=""
="",="(0.038)",="(0.039)",="(0.042)",="",="",="",="",="",=""
="2007 knowledge_barriers",="0.044",="0.032",="0.048",="",="",="",="",="",=""
="",="(0.033)",="(0.032)",="(0.036)",="",="",="",="",="",=""
="2007 dominated_barrier",="-0.059",="-0.090**",="-0.076*",="",="",="",="",="",=""
="",="(0.042)",="(0.041)",="(0.045)",="",="",="",="",="",=""
="2007 uncertainty_barrier",="0.074**",="0.136***",="0.149***",="",="",="",="",="",=""
="",="(0.038)",="(0.036)",="(0.041)",="",="",="",="",="",=""
="2007 higher_education",="0.055",="-0.000",="0.042",="",="",="",="",="",=""
="",="(0.066)",="(0.063)",="(0.070)",="",="",="",="",="",=""
="2007 bip",="0.074***",="0.023",="0.055*",="",="",="",="",="",=""
="",="(0.026)",="(0.026)",="(0.029)",="",="",="",="",="",=""
="2007 group",="0.048",="0.058*",="0.038",="",="",="",="",="",=""
="",="(0.034)",="(0.033)",="(0.035)",="",="",="",="",="",=""
="2007 bextranj",="0.025",="0.027",="0.024",="",="",="",="",="",=""
="",="(0.030)",="(0.029)",="(0.033)",="",="",="",="",="",=""
="2007 exporter",="0.021",="-0.037",="-0.038",="",="",="",="",="",=""
="",="(0.039)",="(0.036)",="(0.040)",="",="",="",="",="",=""
="2007 ManufAT",="-0.125**",="-0.004",="-0.097*",="",="",="",="",="",=""
="",="(0.052)",="(0.050)",="(0.058)",="",="",="",="",="",=""
="2007 ManufTM",="-0.048",="-0.013",="-0.057",="",="",="",="",="",=""
="",="(0.035)",="(0.034)",="(0.039)",="",="",="",="",="",=""
="2007 ServAT",="-0.075",="-0.077",="-0.127**",="",="",="",="",="",=""
="",="(0.057)",="(0.058)",="(0.064)",="",="",="",="",="",=""
="2007 ServRest",="-0.099**",="-0.033",="-0.067",="",="",="",="",="",=""
="",="(0.039)",="(0.038)",="(0.041)",="",="",="",="",="",=""
="2007 z_cost",="0.000",="0.000",="0.000",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="",="",="",="",="",=""
="2011 evolcifra",="",="",="",="-0.030",="0.019",="-0.055",="",="",=""
="",="",="",="",="(0.062)",="(0.064)",="(0.069)",="",="",=""
="2011 bsupport",="",="",="",="-0.064*",="-0.059*",="-0.076**",="",="",=""
="",="",="",="",="(0.033)",="(0.032)",="(0.037)",="",="",=""
="2011 ln_size",="",="",="",="0.024",="0.024*",="0.020",="",="",=""
