="{Table A3: Coefficients-Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall"
="main",="",="",="",="",="",="",="",="",=""
="2007 evolcifra",="0.080",="0.110",="0.201*",="",="",="",="",="",=""
="",="(0.125)",="(0.131)",="(0.119)",="",="",="",="",="",=""
="2007 bsupport",="-0.180**",="-0.293***",="-0.206***",="",="",="",="",="",=""
="",="(0.071)",="(0.076)",="(0.068)",="",="",="",="",="",=""
="2007 ln_size",="0.075*",="0.071*",="0.085**",="",="",="",="",="",=""
="",="(0.040)",="(0.042)",="(0.038)",="",="",="",="",="",=""
="2007 ln_age",="0.050",="0.006",="0.042",="",="",="",="",="",=""
="",="(0.048)",="(0.050)",="(0.045)",="",="",="",="",="",=""
="2007 ln_gintidpt",="0.041***",="0.045***",="0.041***",="",="",="",="",="",=""
="",="(0.010)",="(0.011)",="(0.010)",="",="",="",="",="",=""
="2007 depth",="-0.012",="-0.002",="-0.019",="",="",="",="",="",=""
="",="(0.020)",="(0.021)",="(0.019)",="",="",="",="",="",=""
="2007 breadth",="0.029***",="0.025**",="0.027***",="",="",="",="",="",=""
="",="(0.011)",="(0.011)",="(0.010)",="",="",="",="",="",=""
="2007 financial_constraints",="-0.057",="-0.098",="-0.051",="",="",="",="",="",=""
="",="(0.078)",="(0.082)",="(0.074)",="",="",="",="",="",=""
="2007 knowledge_barriers",="0.042",="-0.060",="0.030",="",="",="",="",="",=""
="",="(0.066)",="(0.070)",="(0.062)",="",="",="",="",="",=""
="2007 dominated_barrier",="0.123*",="0.096",="0.055",="",="",="",="",="",=""
="",="(0.073)",="(0.077)",="(0.070)",="",="",="",="",="",=""
="2007 uncertainty_barrier",="0.148**",="0.267***",="0.208***",="",="",="",="",="",=""
="",="(0.073)",="(0.075)",="(0.069)",="",="",="",="",="",=""
="2007 higher_education",="0.241",="0.181",="0.306**",="",="",="",="",="",=""
="",="(0.152)",="(0.160)",="(0.143)",="",="",="",="",="",=""
="2007 bip",="0.214***",="0.108*",="0.205***",="",="",="",="",="",=""
="",="(0.060)",="(0.064)",="(0.058)",="",="",="",="",="",=""
="2007 group",="0.106",="0.201***",="0.135**",="",="",="",="",="",=""
="",="(0.070)",="(0.072)",="(0.066)",="",="",="",="",="",=""
="2007 bextranj",="0.078",="0.029",="0.010",="",="",="",="",="",=""
="",="(0.117)",="(0.121)",="(0.113)",="",="",="",="",="",=""
="2007 exporter",="0.109",="0.051",="0.104",="",="",="",="",="",=""
="",="(0.076)",="(0.079)",="(0.071)",="",="",="",="",="",=""
="2007 ManufAT",="0.147",="0.058",="0.142",="",="",="",="",="",=""
="",="(0.126)",="(0.133)",="(0.122)",="",="",="",="",="",=""
="2007 ManufTM",="0.046",="0.005",="0.042",="",="",="",="",="",=""
="",="(0.074)",="(0.077)",="(0.071)",="",="",="",="",="",=""
="2007 ServAT",="0.010",="-0.076",="0.005",="",="",="",="",="",=""
="",="(0.116)",="(0.123)",="(0.110)",="",="",="",="",="",=""
="2007 ServRest",="-0.053",="-0.078",="-0.069",="",="",="",="",="",=""
="",="(0.102)",="(0.106)",="(0.096)",="",="",="",="",="",=""
="2011 evolcifra",="",="",="",="-0.279**",="-0.292**",="-0.292***",="",="",=""
="",="",="",="",="(0.120)",="(0.117)",="(0.109)",="",="",=""
="2011 bsupport",="",="",="",="-0.147*",="-0.192**",="-0.139**",="",="",=""
="",="",="",="",="(0.075)",="(0.076)",="(0.070)",="",="",=""
="2011 ln_size",="",="",="",="0.074*",="0.034",="0.039",="",="",=""
="",="",="",="",="(0.041)",="(0.040)",="(0.037)",="",="",=""
="2011 ln_age",="",="",="",="0.109*",="-0.049",="0.018",="",="",=""
="",="",="",="",="(0.061)",="(0.061)",="(0.056)",="",="",=""
="2011 ln_gintidpt",="",="",="",="0.062***",="0.058***",="0.058***",="",="",=""
="",="",="",="",="(0.010)",="(0.010)",="(0.009)",="",="",=""
="2011 depth",="",="",="",="0.034*",="-0.024",="0.000",="",="",=""
="",="",="",="",="(0.019)",="(0.020)",="(0.018)",="",="",=""
="2011 breadth",="",="",="",="0.034***",="0.027**",="0.030***",="",="",=""
="",="",="",="",="(0.011)",="(0.011)",="(0.010)",="",="",=""
="2011 financial_constraints",="",="",="",="-0.004",="-0.059",="-0.050",="",="",=""
="",="",="",="",="(0.083)",="(0.082)",="(0.075)",="",="",=""
="2011 knowledge_barriers",="",="",="",="0.042",="0.015",="0.020",="",="",=""
="",="",="",="",="(0.072)",="(0.072)",="(0.067)",="",="",=""
="2011 dominated_barrier",="",="",="",="0.090",="0.125",="0.137*",="",="",=""
="",="",="",="",="(0.078)",="(0.078)",="(0.072)",="",="",=""
="2011 uncertainty_barrier",="",="",="",="0.081",="0.152**",="0.177***",="",="",=""
="",="",="",="",="(0.070)",="(0.069)",="(0.064)",="",="",=""
="2011 higher_education",="",="",="",="0.089",="-0.029",="0.060",="",="",=""
="",="",="",="",="(0.145)",="(0.142)",="(0.131)",="",="",=""
="2011 bip",="",="",="",="0.231***",="0.170***",="0.213***",="",="",=""
="",="",="",="",="(0.064)",="(0.065)",="(0.060)",="",="",=""
="2011 group",="",="",="",="0.159**",="0.031",="0.080",="",="",=""
="",="",="",="",="(0.070)",="(0.071)",="(0.065)",="",="",=""
="2011 bextranj",="",="",="",="-0.004",="0.020",="-0.049",="",="",=""
="",="",="",="",="(0.116)",="(0.119)",="(0.110)",="",="",=""
="2011 exporter",="",="",="",="0.079",="-0.064",="0.006",="",="",=""
="",="",="",="",="(0.086)",="(0.082)",="(0.076)",="",="",=""
="2011 ManufAT",="",="",="",="0.198",="0.169",="0.125",="",="",=""
="",="",="",="",="(0.125)",="(0.125)",="(0.118)",="",="",=""
="2011 ManufTM",="",="",="",="0.125",="0.095",="0.110",="",="",=""
="",="",="",="",="(0.077)",="(0.078)",="(0.071)",="",="",=""
="2011 ServAT",="",="",="",="-0.017",="-0.077",="-0.076",="",="",=""
="",="",="",="",="(0.123)",="(0.121)",="(0.111)",="",="",=""
="2011 ServRest",="",="",="",="-0.075",="-0.051",="-0.068",="",="",=""
="",="",="",="",="(0.106)",="(0.103)",="(0.095)",="",="",=""
="2014 evolcifra",="",="",="",="",="",="",="-0.024",="-0.086",="-0.058"
="",="",="",="",="",="",="",="(0.096)",="(0.114)",="(0.092)"
="2014 bsupport",="",="",="",="",="",="",="-0.238***",="-0.274***",="-0.244***"
="",="",="",="",="",="",="",="(0.086)",="(0.088)",="(0.079)"
="2014 ln_size",="",="",="",="",="",="",="0.071*",="0.040",="0.027"
="",="",="",="",="",="",="",="(0.043)",="(0.044)",="(0.039)"
="2014 ln_age",="",="",="",="",="",="",="0.074",="0.117",="0.075"
