="{Table A6: Marginal effects -Large Firms (Robustness: Continous Public Support)}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall"
="Sales growth",="-0.019",="-0.031",="-0.045",="-0.012",="-0.012",="-0.012",="-0.027",="-0.059*",="-0.067*"
="",="(0.028)",="(0.031)",="(0.035)",="(0.028)",="(0.028)",="(0.028)",="(0.036)",="(0.032)",="(0.039)"
="Public support (log) (t-1)",="-0.003",="-0.006***",="-0.005**",="-0.006**",="-0.006**",="-0.006**",="0.002",="-0.003",="0.000"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)"
="Size (log) (t-1)",="0.022*",="0.009",="0.025*",="0.020",="0.020",="0.020",="0.037***",="0.031**",="0.030**"
="",="(0.013)",="(0.012)",="(0.014)",="(0.015)",="(0.015)",="(0.015)",="(0.014)",="(0.013)",="(0.015)"
="Age",="-0.015",="-0.010",="-0.022",="-0.014",="-0.014",="-0.014",="-0.034",="-0.013",="-0.026"
="",="(0.016)",="(0.014)",="(0.017)",="(0.021)",="(0.021)",="(0.021)",="(0.022)",="(0.021)",="(0.024)"
="R&D intensity (log) (t-1)",="0.024***",="0.023***",="0.032***",="0.022***",="0.022***",="0.022***",="0.010**",="0.015***",="0.017***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.005)"
="depth 0-10",="0.014**",="0.017***",="0.018**",="0.002",="0.002",="0.002",="0.001",="-0.003",="-0.002"
="",="(0.007)",="(0.007)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.007)",="(0.006)",="(0.008)"
="breadth 0-10",="0.016***",="0.010***",="0.015***",="0.021***",="0.021***",="0.021***",="0.025***",="0.012***",="0.020***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"
="Financial Constraints (t-1)",="-0.013",="0.001",="-0.009",="0.017",="0.017",="0.017",="-0.030",="-0.051***",="-0.044*"
="",="(0.025)",="(0.023)",="(0.027)",="(0.021)",="(0.021)",="(0.021)",="(0.022)",="(0.020)",="(0.023)"
="Knowledge Barriers (t-1)",="0.033",="0.011",="0.034",="-0.030",="-0.030",="-0.030",="0.056*",="0.031",="0.053"
="",="(0.027)",="(0.027)",="(0.030)",="(0.032)",="(0.032)",="(0.032)",="(0.031)",="(0.029)",="(0.034)"
="Market Barriers: Dominated (t-1)",="-0.043",="-0.055",="-0.050",="0.007",="0.007",="0.007",="-0.003",="0.018",="0.011"
="",="(0.033)",="(0.034)",="(0.036)",="(0.038)",="(0.038)",="(0.038)",="(0.034)",="(0.031)",="(0.037)"
="Market Barriers: Uncertainty (t-1)",="0.071**",="0.092***",="0.118***",="0.046",="0.046",="0.046",="0.033",="0.017",="0.025"
="",="(0.030)",="(0.028)",="(0.032)",="(0.031)",="(0.031)",="(0.031)",="(0.029)",="(0.026)",="(0.031)"
="Higher education (t-1)",="0.030",="0.003",="0.019",="0.052",="0.052",="0.052",="0.084",="0.022",="0.067"
="",="(0.056)",="(0.055)",="(0.060)",="(0.062)",="(0.062)",="(0.062)",="(0.052)",="(0.048)",="(0.056)"
="Intellectual protection (t-1)",="0.084***",="0.059***",="0.080***",="0.077***",="0.077***",="0.077***",="0.066***",="0.075***",="0.088***"
="",="(0.022)",="(0.021)",="(0.023)",="(0.026)",="(0.026)",="(0.026)",="(0.024)",="(0.022)",="(0.025)"
="Group membership (t-1)",="0.027",="0.042",="0.020",="0.003",="0.003",="0.003",="-0.035",="-0.010",="-0.015"
="",="(0.030)",="(0.028)",="(0.032)",="(0.037)",="(0.037)",="(0.037)",="(0.035)",="(0.033)",="(0.037)"
="Foreign (t-1)",="0.010",="0.009",="0.004",="0.000",="0.000",="0.000",="0.051*",="0.018",="0.035"
="",="(0.028)",="(0.026)",="(0.030)",="(0.032)",="(0.032)",="(0.032)",="(0.029)",="(0.028)",="(0.032)"
="Exporter (t-1)",="0.044",="-0.001",="0.016",="-0.008",="-0.008",="-0.008",="0.025",="-0.016",="0.025"
="",="(0.034)",="(0.030)",="(0.034)",="(0.036)",="(0.036)",="(0.036)",="(0.035)",="(0.031)",="(0.036)"
="High tech. Manufacturing.",="-0.119**",="-0.013",="-0.095",="0.046",="0.046",="0.046",="-0.021",="0.001",="0.009"
="",="(0.053)",="(0.049)",="(0.059)",="(0.064)",="(0.064)",="(0.064)",="(0.054)",="(0.048)",="(0.059)"
="Medium tech Manufacturing",="-0.045",="-0.014",="-0.055",="-0.080*",="-0.080*",="-0.080*",="-0.061*",="-0.055",="-0.052"
="",="(0.036)",="(0.034)",="(0.040)",="(0.043)",="(0.043)",="(0.043)",="(0.037)",="(0.034)",="(0.040)"
="High. tech. Services",="-0.058",="-0.088",="-0.111*",="-0.083",="-0.083",="-0.083",="-0.087*",="0.055",="-0.025"
="",="(0.054)",="(0.055)",="(0.059)",="(0.060)",="(0.060)",="(0.060)",="(0.053)",="(0.047)",="(0.060)"
="Rest of services",="-0.085**",="-0.027",="-0.047",="-0.126***",="-0.126***",="-0.126***",="-0.096**",="-0.096***",="-0.080*"
="",="(0.039)",="(0.033)",="(0.040)",="(0.042)",="(0.042)",="(0.042)",="(0.040)",="(0.035)",="(0.041)"
="year==  2007.0000",="-0.006",="-0.002",="-0.003",="",="",="",="",="",=""
="",="(0.004)",="(0.004)",="(0.004)",="",="",="",="",="",=""
="year==  2008.0000",="-0.014***",="-0.008*",="-0.013**",="",="",="",="",="",=""
="",="(0.005)",="(0.005)",="(0.006)",="",="",="",="",="",=""
="Averaged Cost Barriers",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==  2010.0000",="",="",="",="-0.004",="-0.004",="-0.004",="",="",=""
="",="",="",="",="(0.006)",="(0.006)",="(0.006)",="",="",=""
="year==  2011.0000",="",="",="",="-0.004",="-0.004",="-0.004",="",="",=""
="",="",="",="",="(0.007)",="(0.007)",="(0.007)",="",="",=""
="year==  2012.0000",="",="",="",="-0.009",="-0.009",="-0.009",="",="",=""
="",="",="",="",="(0.007)",="(0.007)",="(0.007)",="",="",=""
="year==  2014.0000",="",="",="",="",="",="",="0.002",="0.001",="0.003"
="",="",="",="",="",="",="",="(0.004)",="(0.003)",="(0.004)"
="year==  2015.0000",="",="",="",="",="",="",="0.007",="0.005",="0.007"
="",="",="",="",="",="",="",="(0.004)",="(0.004)",="(0.005)"
="year==  2013.0000",="",="",="",="",="",="",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)"
="N",="2596",="2596",="2596",="3467",="3467",="3467",="2601",="2601",="2601"
="N_clust",="",="",="",="",="",="",="",="",=""
="df_m",="",="",="",="",="",="",="",="",=""
="r2_a",="",="",="",="",="",="",="",="",=""
="widstat",="",="",="",="",="",="",="",="",=""
="j",="",="",="",="",="",="",="",="",=""
="jp",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="Source: Author's elaboration, based on The Spanish Technological innovation panel (PITEC)."
="* p<0.10, ** p<0.05, *** p<0.01"
