="{Table A7: Coefficients SMEs- Robustness: Sample Selection}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall",="Failure conception",="Failure Implementation",="Failure overall"
="main",="",="",="",="",="",="",="",="",=""
="Sales growth",="-0.029",="-0.025",="-0.033*",="-0.019*",="-0.019*",="-0.019*",="-0.025",="-0.057***",="-0.045**"
="",="(0.019)",="(0.021)",="(0.019)",="(0.011)",="(0.011)",="(0.011)",="(0.019)",="(0.020)",="(0.018)"
="Public Support (t-1)",="-0.145***",="-0.173***",="-0.141***",="-0.080**",="-0.080**",="-0.080**",="-0.140**",="-0.230***",="-0.161***"
="",="(0.039)",="(0.041)",="(0.037)",="(0.040)",="(0.040)",="(0.040)",="(0.055)",="(0.061)",="(0.053)"
="Size (log) (t-1)",="0.033",="0.039",="0.035",="0.050**",="0.050**",="0.050**",="0.047*",="0.005",="0.009"
="",="(0.023)",="(0.024)",="(0.021)",="(0.021)",="(0.021)",="(0.021)",="(0.028)",="(0.028)",="(0.025)"
="Age",="0.027",="0.009",="0.026",="0.050",="0.050",="0.050",="0.030",="0.092*",="0.054"
="",="(0.030)",="(0.030)",="(0.028)",="(0.035)",="(0.035)",="(0.035)",="(0.050)",="(0.051)",="(0.046)"
="R&D intensity (log) (t-1)",="0.027***",="0.036***",="0.033***",="0.053***",="0.053***",="0.053***",="0.040***",="0.045***",="0.048***"
="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.006)",="(0.007)",="(0.006)"
="depth 0-10",="-0.008",="0.006",="-0.010",="0.013",="0.013",="0.013",="0.010",="-0.007",="-0.000"
="",="(0.011)",="(0.012)",="(0.011)",="(0.011)",="(0.011)",="(0.011)",="(0.013)",="(0.015)",="(0.013)"
="breadth 0-10",="0.020***",="0.013*",="0.017***",="0.009",="0.009",="0.009",="0.055***",="0.040***",="0.043***"
="",="(0.006)",="(0.007)",="(0.006)",="(0.007)",="(0.007)",="(0.007)",="(0.009)",="(0.009)",="(0.008)"
="Financial Constraints (t-1)",="0.058**",="0.023",="0.051*",="0.021",="0.021",="0.021",="0.049",="-0.002",="0.050"
="",="(0.029)",="(0.031)",="(0.027)",="(0.026)",="(0.026)",="(0.026)",="(0.038)",="(0.040)",="(0.035)"
="Knowledge Barriers (t-1)",="0.017",="-0.035",="0.002",="0.026",="0.026",="0.026",="0.105**",="0.075",="0.079"
="",="(0.037)",="(0.038)",="(0.034)",="(0.036)",="(0.036)",="(0.036)",="(0.052)",="(0.054)",="(0.048)"
="Market Barriers: Dominated (t-1)",="0.044",="0.034",="0.041",="0.111***",="0.111***",="0.111***",="0.013",="0.064",="0.055"
="",="(0.041)",="(0.043)",="(0.039)",="(0.041)",="(0.041)",="(0.041)",="(0.056)",="(0.059)",="(0.052)"
="Market Barriers: Uncertainty (t-1)",="0.107***",="0.113***",="0.099***",="0.117***",="0.117***",="0.117***",="0.086*",="0.036",="0.041"
="",="(0.039)",="(0.041)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.051)",="(0.054)",="(0.047)"
="Higher education (t-1)",="0.118",="0.131",="0.139*",="0.017",="0.017",="0.017",="-0.050",="-0.035",="-0.041"
="",="(0.085)",="(0.086)",="(0.078)",="(0.071)",="(0.071)",="(0.071)",="(0.098)",="(0.098)",="(0.088)"
="Intellectual protection (t-1)",="0.155***",="0.109***",="0.143***",="0.175***",="0.175***",="0.175***",="0.159***",="0.185***",="0.172***"
="",="(0.034)",="(0.036)",="(0.032)",="(0.035)",="(0.035)",="(0.035)",="(0.048)",="(0.049)",="(0.045)"
="Group membership (t-1)",="0.050",="0.115**",="0.072*",="0.035",="0.035",="0.035",="0.052",="0.108**",="0.102**"
="",="(0.046)",="(0.046)",="(0.043)",="(0.044)",="(0.044)",="(0.044)",="(0.053)",="(0.055)",="(0.049)"
="Foreign (t-1)",="0.054",="0.048",="0.012",="0.057",="0.057",="0.057",="-0.029",="-0.023",="-0.038"
="",="(0.074)",="(0.076)",="(0.070)",="(0.070)",="(0.070)",="(0.070)",="(0.085)",="(0.087)",="(0.079)"
="Exporter (t-1)",="0.031",="0.015",="0.013",="-0.067",="-0.067",="-0.067",="0.003",="0.065",="0.055"
="",="(0.043)",="(0.044)",="(0.039)",="(0.042)",="(0.042)",="(0.042)",="(0.060)",="(0.064)",="(0.055)"
="High tech. Manufacturing.",="0.177**",="0.086",="0.189**",="0.107",="0.107",="0.107",="0.098",="0.134",="0.082"
="",="(0.085)",="(0.088)",="(0.081)",="(0.085)",="(0.085)",="(0.085)",="(0.106)",="(0.107)",="(0.099)"
="Medium tech Manufacturing",="0.024",="0.006",="0.022",="0.070",="0.070",="0.070",="0.098",="0.026",="0.049"
="",="(0.052)",="(0.054)",="(0.049)",="(0.050)",="(0.050)",="(0.050)",="(0.063)",="(0.065)",="(0.059)"
="High. tech. Services",="0.003",="-0.121",="-0.015",="-0.069",="-0.069",="-0.069",="-0.038",="-0.029",="0.007"
="",="(0.071)",="(0.074)",="(0.066)",="(0.068)",="(0.068)",="(0.068)",="(0.089)",="(0.093)",="(0.082)"
="Rest of services",="-0.083",="-0.098",="-0.106*",="-0.066",="-0.066",="-0.066",="-0.093",="-0.088",="-0.079"
="",="(0.060)",="(0.062)",="(0.055)",="(0.057)",="(0.057)",="(0.057)",="(0.077)",="(0.078)",="(0.070)"
="year==  2007.0000",="0.030***",="0.023***",="0.032***",="",="",="",="",="",=""
="",="(0.008)",="(0.007)",="(0.007)",="",="",="",="",="",=""
="year==  2008.0000",="0.032***",="0.023**",="0.033***",="",="",="",="",="",=""
="",="(0.011)",="(0.011)",="(0.010)",="",="",="",="",="",=""
="millsp1",="-0.942***",="-0.559***",="-0.676***",="",="",="",="",="",=""
="",="(0.116)",="(0.115)",="(0.102)",="",="",="",="",="",=""
="year==  2010.0000",="",="",="",="0.023***",="0.023***",="0.023***",="",="",=""
="",="",="",="",="(0.009)",="(0.009)",="(0.009)",="",="",=""
="year==  2011.0000",="",="",="",="0.035***",="0.035***",="0.035***",="",="",=""
="",="",="",="",="(0.012)",="(0.012)",="(0.012)",="",="",=""
="year==  2012.0000",="",="",="",="0.048***",="0.048***",="0.048***",="",="",=""
="",="",="",="",="(0.014)",="(0.014)",="(0.014)",="",="",=""
="millsp2",="",="",="",="-0.965***",="-0.965***",="-0.965***",="",="",=""
="",="",="",="",="(0.152)",="(0.152)",="(0.152)",="",="",=""
="year==  2014.0000",="",="",="",="",="",="",="-0.068***",="-0.072***",="-0.068***"
="",="",="",="",="",="",="",="(0.013)",="(0.013)",="(0.012)"
="year==  2015.0000",="",="",="",="",="",="",="-0.061***",="-0.074***",="-0.064***"
="",="",="",="",="",="",="",="(0.016)",="(0.016)",="(0.015)"
="millsp3",="",="",="",="",="",="",="-0.246",="-0.318",="-0.379*"
="",="",="",="",="",="",="",="(0.238)",="(0.228)",="(0.207)"
="Constant",="-1.405***",="-1.499***",="-1.210***",="-1.454***",="-1.454***",="-1.454***",="-1.916***",="-1.971***",="-1.628***"
="",="(0.127)",="(0.131)",="(0.118)",="(0.138)",="(0.138)",="(0.138)",="(0.200)",="(0.199)",="(0.181)"
="Financial constraints",="",="",="",="",="",="",="",="",=""
="Averaged Cost Barriers",="1.133***",="1.133***",="1.131***",="1.228***",="1.228***",="1.228***",="1.421***",="1.427***",="1.424***"
="",="(0.204)",="(0.204)",="(0.204)",="(0.166)",="(0.166)",="(0.166)",="(0.180)",="(0.180)",="(0.180)"
="Sales growth",="-0.053***",="-0.053***",="-0.053***",="-0.032***",="-0.032***",="-0.032***",="-0.025",="-0.025",="-0.025"
="",="(0.019)",="(0.019)",="(0.019)",="(0.012)",="(0.012)",="(0.012)",="(0.017)",="(0.017)",="(0.017)"
="Public Support (t-1)",="0.049",="0.049",="0.049",="0.144***",="0.144***",="0.144***",="0.096**",="0.095**",="0.095**"
="",="(0.031)",="(0.031)",="(0.031)",="(0.034)",="(0.034)",="(0.034)",="(0.045)",="(0.045)",="(0.045)"
="Size (log) (t-1)",="-0.153***",="-0.153***",="-0.153***",="-0.093***",="-0.093***",="-0.093***",="-0.025",="-0.025",="-0.025"
="",="(0.016)",="(0.016)",="(0.016)",="(0.014)",="(0.014)",="(0.014)",="(0.017)",="(0.017)",="(0.017)"
="Age",="-0.112***",="-0.112***",="-0.112***",="-0.071***",="-0.071***",="-0.071***",="-0.089***",="-0.089***",="-0.089***"
="",="(0.021)",="(0.021)",="(0.021)",="(0.024)",="(0.024)",="(0.024)",="(0.034)",="(0.034)",="(0.034)"
="R&D intensity (log) (t-1)",="-0.023***",="-0.022***",="-0.022***",="-0.036***",="-0.036***",="-0.036***",="-0.027***",="-0.027***",="-0.027***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)"
="depth 0-10",="0.028***",="0.028***",="0.028***",="0.054***",="0.054***",="0.054***",="0.062***",="0.062***",="0.062***"
="",="(0.009)",="(0.009)",="(0.009)",="(0.010)",="(0.010)",="(0.010)",="(0.012)",="(0.012)",="(0.012)"
="breadth 0-10",="-0.026***",="-0.026***",="-0.026***",="-0.105***",="-0.105***",="-0.105***",="-0.056***",="-0.056***",="-0.056***"
="",="(0.005)",="(0.005)",="(0.005)",="(0.006)",="(0.006)",="(0.006)",="(0.007)",="(0.007)",="(0.007)"
="Knowledge Barriers (t-1)",="0.283***",="0.283***",="0.283***",="0.347***",="0.347***",="0.347***",="0.281***",="0.281***",="0.281***"
="",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.038)",="(0.038)",="(0.038)"
="Market Barriers: Dominated (t-1)",="0.258***",="0.258***",="0.258***",="0.137***",="0.137***",="0.137***",="0.228***",="0.228***",="0.228***"
="",="(0.032)",="(0.032)",="(0.032)",="(0.032)",="(0.032)",="(0.032)",="(0.041)",="(0.041)",="(0.041)"
="Market Barriers: Uncertainty (t-1)",="0.230***",="0.230***",="0.230***",="0.270***",="0.270***",="0.270***",="0.266***",="0.266***",="0.266***"
="",="(0.032)",="(0.032)",="(0.032)",="(0.028)",="(0.028)",="(0.028)",="(0.036)",="(0.036)",="(0.036)"
="Higher education (t-1)",="-0.206***",="-0.206***",="-0.206***",="-0.358***",="-0.358***",="-0.358***",="-0.212***",="-0.212***",="-0.212***"
="",="(0.060)",="(0.060)",="(0.060)",="(0.052)",="(0.052)",="(0.052)",="(0.064)",="(0.064)",="(0.064)"
="Intellectual protection (t-1)",="0.000",="0.000",="0.000",="-0.024",="-0.024",="-0.024",="-0.116***",="-0.116***",="-0.116***"
="",="(0.027)",="(0.027)",="(0.027)",="(0.028)",="(0.028)",="(0.028)",="(0.037)",="(0.037)",="(0.037)"
="Group membership (t-1)",="-0.128***",="-0.128***",="-0.128***",="-0.204***",="-0.204***",="-0.204***",="-0.181***",="-0.181***",="-0.181***"
="",="(0.034)",="(0.034)",="(0.034)",="(0.031)",="(0.031)",="(0.031)",="(0.037)",="(0.037)",="(0.037)"
="Foreign (t-1)",="-0.079",="-0.079",="-0.079",="-0.102*",="-0.102*",="-0.102*",="-0.139**",="-0.139**",="-0.139**"
="",="(0.061)",="(0.061)",="(0.061)",="(0.053)",="(0.053)",="(0.053)",="(0.061)",="(0.061)",="(0.061)"
="Exporter (t-1)",="-0.066**",="-0.066**",="-0.066**",="-0.171***",="-0.171***",="-0.171***",="-0.156***",="-0.156***",="-0.156***"
="",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.039)",="(0.039)",="(0.039)"
="High tech. Manufacturing.",="-0.098",="-0.097",="-0.098",="-0.044",="-0.044",="-0.044",="-0.085",="-0.086",="-0.086"
="",="(0.067)",="(0.067)",="(0.067)",="(0.065)",="(0.065)",="(0.065)",="(0.077)",="(0.077)",="(0.077)"
="Medium tech Manufacturing",="-0.009",="-0.009",="-0.009",="-0.061*",="-0.061*",="-0.061*",="-0.075*",="-0.075*",="-0.075*"
="",="(0.039)",="(0.039)",="(0.039)",="(0.037)",="(0.037)",="(0.037)",="(0.044)",="(0.044)",="(0.044)"
="High. tech. Services",="-0.031",="-0.031",="-0.031",="0.027",="0.027",="0.027",="0.093",="0.092",="0.093"
="",="(0.052)",="(0.052)",="(0.052)",="(0.049)",="(0.049)",="(0.049)",="(0.061)",="(0.061)",="(0.061)"
="Rest of services",="-0.001",="-0.001",="-0.001",="0.191***",="0.191***",="0.191***",="0.261***",="0.261***",="0.261***"
="",="(0.044)",="(0.044)",="(0.044)",="(0.041)",="(0.041)",="(0.041)",="(0.049)",="(0.049)",="(0.049)"
="year==  2007.0000",="0.015",="0.015",="0.015",="",="",="",="",="",=""
="",="(0.016)",="(0.016)",="(0.016)",="",="",="",="",="",=""
="year==  2008.0000",="0.120***",="0.120***",="0.121***",="",="",="",="",="",=""
="",="(0.020)",="(0.020)",="(0.020)",="",="",="",="",="",=""
="millsp1",="-1.352***",="-1.352***",="-1.352***",="",="",="",="",="",=""
="",="(0.090)",="(0.090)",="(0.090)",="",="",="",="",="",=""
="year==  2010.0000",="",="",="",="-0.009",="-0.009",="-0.009",="",="",=""
="",="",="",="",="(0.014)",="(0.014)",="(0.014)",="",="",=""
="year==  2011.0000",="",="",="",="0.001",="0.001",="0.001",="",="",=""
="",="",="",="",="(0.014)",="(0.014)",="(0.014)",="",="",=""
="millsp2",="",="",="",="-2.986***",="-2.986***",="-2.986***",="",="",=""
="",="",="",="",="(0.110)",="(0.110)",="(0.110)",="",="",=""
="year==  2013.0000",="",="",="",="",="",="",="0.245***",="0.245***",="0.245***"
